"Book" "Cloth" "Electr" "House" "Age"
0 350.8 0 42.3 0
44.69 0 82.28 134.74 3
0 106.79 0 17.32 0
88.81 0 57.35 72.81 3
216.06 7.58 110.55 107.71 3
166.61 52.81 0 26.1 3
184.96 80.14 94.71 40.79 3
29.27 0 0 249.39 3
107.2 20.49 33.29 0 1
0 0 210.95 175.72 0
0 0 50.36 0 1
99.02 65.82 92.71 91.45 3
64.84 139.21 4.49 0 0
35.7 7.35 0 177.09 0
21.35 33.05 0 0 3
63.01 0 48.39 1.23 3
84.12 329.13 0 0 3
150.65 205.65 58.24 0 1
207.5 32.7 7.28 124.03 0
156.33 0 0 107.52 1
57.43 279.06 0 42.89 1
182.73 0 0 401.05 3
100.59 0 79.91 72.83 1
0 91.3 12.72 81.09 0
0 0 191.61 72.63 0
0 303.33 55.17 155.84 0
0 38.79 0 124.37 3
72.47 0 51.87 0 3
55.23 509.38 0 511.32 0
93.66 30.31 0 240.35 1
35.98 66.37 47.85 347.59 3
104.05 0 193.38 433.41 1
234.75 3.49 0 2.97 3
0 44.31 0 173.54 3
0 0 30.88 183.02 3
42.92 116.53 69.29 144.96 0
135.37 0 60.41 0 3
195.44 0 0 147.6 3
50.93 203.61 0 206.47 3
24.83 171.32 202.85 5.5 0
102.55 8.18 0 333.72 0
62.88 92.42 9.6 12.21 3
99.44 52.18 108.83 155.1 0
87.56 0 46.51 185.19 0
77.05 71.36 0 1739.86 3
127.2 123.97 0 43.29 3
0 82.7 0 40.76 3
50.75 182.15 0 0 0
109.76 179.7 0 0 3
0 30.82 0 0 3
0 140.11 0 4.28 3
135.4 69.61 0 2.99 1
0 236.39 145.38 63.99 3
0 205.9 0 0 0
114.04 0 153.44 115.83 1
0 0 43.98 70.89 3
82.77 219.99 0 0 3
337.88 0 64.11 146.31 3
78.74 111.06 69.55 198.02 3
129.48 265.04 73.08 0 0
27.36 402.46 0 88.41 0
136.95 0 133.42 94.04 3
77.95 4.99 0 297.74 3
